a_key_0,a_value_0,a_key_1,a_value_1,a_key_2,a_value_2,a_key_3,a_value_3,a_key_4,a_value_4,a_key_5,a_value_5,a_key_6,a_value_6,a_key_7,a_value_7,a_key_8,a_value_8,a_key_9,a_value_9,a_key_10,a_value_10,a_key_11,a_value_11,a_key_12,a_value_12,a_key_13,a_value_13,a_key_14,a_value_14
Lentsch Alto Adige Cabernet Riserva DOC,"

53,00 €                                                
",1404324168504,"
5 - 10 Workdays

",Manufacturer,H. Lentsch,Red Wine,353434,GTIN,1404324168504,Content‍,"
1,5 l",Variety‍,"
Cabernet Franc",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Reichsstraße, 71, 39051 Branzoll, Südtirol",https://weindiele.com/media/image/product/9000/sm/lentsch-suedtiroler-cabernet-riserva-doc.jpg
Meraner Kellerei Alto Adige Vernatsch DOC Schickenburg,"

12,00 €                                                
",8028677470010,"
5 - 10 Workdays

",Manufacturer,Meran Burggräfler Kellerei,Red Wine,271775,GTIN,8028677470010,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Schiava",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Via Cantina 9, 39020 Marlengo (BZ)",https://weindiele.com/media/image/product/8891/sm/meraner-kellerei-suedtiroler-vernatsch-doc-schickenburg.jpg
Girlan Alto Adige Blauburgunder Riserva DOC Curlan,"

210,00 €                                                
",1404324154712,"
5 - 10 Workdays

",Manufacturer,Kellerei Girlan,Red Wine,352913,GTIN,1404324154712,Content‍,"
1,5 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,15 Vol. %,Manufacturer address‍,"Via S. Martino, 24, 39057 Cornaiano BZ",https://weindiele.com/media/image/product/8623/sm/de-rotwein-girlan-suedtiroler-blauburgunder-riserva-doc-curlan.jpg
St. Pauls Kellerei Alto Adige Lagrein Riserva DOC Lagröll,"

54,00 €                                                
",1404324154699,"
5 - 10 Workdays

",Manufacturer,Kellerei St. Pauls,Red Wine,352911,GTIN,1404324154699,Content‍,"
1,5 l",Variety‍,"
Lagrein ",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Schloss-Warth-Weg 21, 39057 San Paolo BZ",https://weindiele.com/media/image/product/8621/sm/de-rotwein-st-pauls-kellerei-suedtiroler-lagrein-riserva-doc-lagroell.jpg
Tramin Kellerei Alto Adige Blauburgunder DOC Marjun,"

10,30 €                                                
",1404324160683,"
5 - 10 Workdays

",Manufacturer,Kellerei Tramin,Red Wine,353105,GTIN,1404324160683,Content‍,"
0,375 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Str. del Vino, 144, 39040 Termeno BZ",https://weindiele.com/media/image/product/8754/sm/de-rotwein-tramin-kellerei-suedtiroler-blauburgunder-doc-marjun.jpg
Reyter Vino Rosso Schiava ORGANIC with Glass Sto.,"

18,90 €                                                
",1404324162946,"
5 - 10 Workdays

",Manufacturer,Reyterhof,Red Wine,353194,GTIN,1404324162946,Content‍,"
0,75 l",Variety‍,"
Schiava",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Bio-Zertifizierung‍,,Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,"Eisenkeller Weg 14/b, I-39100 Bozen | Südtirol",https://weindiele.com/media/image/product/8821/sm/reyter-rotwein-schiava-bio-mit-glasverschluss.jpg
Castelfeder Alto Adige Blauburgunder DOC Buchholz,"

17,30 €                                                
",1404324163448,"
5 - 10 Workdays

",Manufacturer,Castelfeder,Red Wine,353216,GTIN,1404324163448,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,Via F.-Harpf-Straße 15 – 39040 Kurtinig a. d. Weinstraße/Cortina s.S.d.V.,https://weindiele.com/media/image/product/8835/sm/castelfeder-suedtiroler-blauburgunder-doc-buchholz.jpg
Castelfeder Alto Adige Blauburgunder DOC Mazon,"

23,90 €                                                
",1404324163455,"
5 - 10 Workdays

",Manufacturer,Castelfeder,Red Wine,353217,GTIN,1404324163455,Content‍,"
0,75 l",Variety‍,"
Pinot Noir",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer address‍,Via F.-Harpf-Straße 15 – 39040 Kurtinig a. d. Weinstraße/Cortina s.S.d.V.,https://weindiele.com/media/image/product/8836/sm/castelfeder-suedtiroler-blauburgunder-doc-mazon.jpg
Project XXX Mitterberg Cabernet IGT Cabarone,"

45,00 €                                                
",1404324158789,"
5 - 10 Workdays

",Manufacturer,Kellerei Kaltern,Red Wine,353075,GTIN,1404324158789,Content‍,"
0,75 l",Variety‍,"
Cabernet Sauvignon",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Cantine 12, 39052 Caldaro BZ",https://weindiele.com/media/image/product/8726/sm/project-xxx-mitterberg-cabernet-igt-cabarone.jpg
Project XXX Vigneti delle Dolomiti Rosso IGT L'Étranger,"

45,00 €                                                
",1404324158758,"
5 - 10 Workdays

",Manufacturer,Kellerei Kaltern,Red Wine,353072,GTIN,1404324158758,Content‍,"
0,75 l",Variety‍,"
Syrah",Regions‍,"
Alto Adige",Vintage‍,"
2019",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,14 Vol. %,Manufacturer address‍,"Via Cantine 12, 39052 Caldaro BZ",https://weindiele.com/media/image/product/8723/sm/project-xxx-weinberg-dolomiten-rot-igt-letranger.jpg
