a_key_0,a_value_0,a_key_1,a_value_1,a_key_2,a_value_2,a_key_3,a_value_3,a_key_4,a_value_4,a_key_5,a_value_5,a_key_6,a_value_6,a_key_7,a_value_7,a_key_8,a_value_8,a_key_9,a_value_9,a_key_10,a_value_10,a_key_11,a_value_11,a_key_12,a_value_12,a_key_13,a_value_13,a_key_14,a_value_14
Niedrist Mitterberg Merlot & Syrah Rosè IGT,"

Kurtatsch Alto Adige Blauburgunder Rosé DOC Pinosé,"

13,50 €                                                
",8000861750382,"
5 - 10 Workdays

",Manufacturer,Kellerei Kurtatsch,Rosé,306514,GTIN,8000861750382,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Pinot Noir Rosè",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"13,5 Vol. %",Manufacturer‍,"Kellerei Kurtatsch - Strada del Vino, 23, 39040 Cortaccia sulla strada del vino (BZ), South Tyrol",Manufacturer address‍,"Via del Vino, 23, 39040 Cortaccia sulla strada del vino BZ",https://weindiele.com/media/image/product/4696/sm/rosewein-kurtatsch-suedtiroler-blauburgunder-rose-doc-pinose.jpg
Reyter Vino Rosso Lakrez ORGANIC with Glass Stopper,"

17,30 €                                                
",140432303677,"
5 - 10 Workdays

",Manufacturer,Reyterhof,Rosé,303677,GTIN,140432303677,Content‍,"
0,75 l",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Bio-certification‍,,Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Eisenkeller Weg 14/b, I-39100 Bozen | Südtirol",https://weindiele.com/media/image/product/4488/sm/rosewein-reyter-hof-rotwein-lakrez-bio.jpg
Schreckbichl Alto Adige Lagrein Rosé DOC,"

10,90 €                                                
",8009219010185,"
5 - 10 Workdays

",Manufacturer,Schreckbichl,Rosé,277442,GTIN,8009219010185,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Strada del Vino 8, 39057 Cornaiano/Appiano (BZ)",https://weindiele.com/media/image/product/2975/sm/rosewein-schreckbichl-suedtiroler-lagrein-rose-doc.jpg
Tramin Kellerei Alto Adige Lagrein Rosé DOC,"

11,20 €                                                
",8013365097006,"
5 - 10 Workdays

",Manufacturer,Kellerei Tramin,Rosé,303149,GTIN,8013365097006,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Str. del Vino, 144, 39040 Termeno BZ",https://weindiele.com/media/image/product/4477/sm/rosewein-tramin-kellerei-suedtiroler-lagrein-rose-doc.jpg
Bozen Kellerei Vigneti delle Dolomiti Rosé IGT Pischl with Screw Cap,"

10,00 €                                                
",8029371703176,"
5 - 10 Workdays

",Manufacturer,Kellerei Bozen,Rosé,261073,GTIN,8029371703176,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via San Maurizio, 36, 39100 Bolzano BZ",https://weindiele.com/media/image/product/1712/sm/rosewein-bozen-kellerei-weinberg-dolomiten-rose-igt-pischl.jpg
Terlan Alto Adige Lagrein Rosé DOC Tradition,"

14,20 €                                                
",8021507711604,"
5 - 10 Workdays

",Manufacturer,Kellerei Terlan,Rosé,285403,GTIN,8021507711604,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via Silberleiten, 7, 39018 Terlano BZ",https://weindiele.com/media/image/product/2752/sm/rosewein-terlan-suedtiroler-lagrein-rose-doc-tradition.jpg
Viribus Rosé Flaschenpost with Screw Cap,"

9,00 €                                                
",140432277376,"
5 - 10 Workdays

",Manufacturer,Kiemberger,Rosé,277376,GTIN,140432277376,Content‍,"
0,5 l",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Vintage‍,"
2018",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"14,5 Vol. %",Manufacturer address‍,"Via Principale, 23, 39018 Terlano BZ",https://weindiele.com/media/image/product/2326/sm/rosewein-viribus-rose-flaschenpost.jpg
Larcherhof Alto Adige Lagrein Kretzer Rosé DOC,"

11,00 €                                                
",8054615970021,"
5 - 10 Workdays

",Manufacturer,Larcherhof,Rosé,269290,GTIN,8054615970021,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"12,5 Vol. %",Manufacturer address‍,"Via Rencio, 82, 39100 Bolzano BZ",https://weindiele.com/media/image/product/2023/sm/rosewein-larcherhof-suedtiroler-lagrein-kretzer-rose-doc.jpg
Castelfeder Alto Adige Lagrein Rosato DOC,"

12,70 €                                                
",8002237105017,"
5 - 10 Workdays

",Manufacturer,Castelfeder,Rosé,264960,GTIN,8002237105017,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,Via F.-Harpf-Straße 15 – 39040 Kurtinig a. d. Weinstraße/Cortina s.S.d.V.,https://weindiele.com/media/image/product/1853/sm/rosewein-castelfeder-suedtiroler-lagrein-rosato-doc.jpg
Egger Ramer Alto Adige Lagrein Kretzer DOC with Screwcap,"

11,90 €                                                
",8033210880195,"
5 - 10 Workdays

",Manufacturer,Egger - Ramer,Rosé,97782,GTIN,8033210880195,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via Guncina, 5, 39100 Bolzano BZ",https://weindiele.com/media/image/product/653/sm/rosewein-egger-ramer-suedtiroler-lagrein-kretzer-doc.jpg
Elena Walch Vigneti delle Dolomiti Rosé IGT 20/26,"

16,60 €                                                
",8000905005010,"
5 - 10 Workdays

",Manufacturer,Elena Walch,Rosé,214148,GTIN,8000905005010,Content‍,"
0,75 l",Vintage‍,"
2022",Variety‍,"
Cuvée Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via Andreas Hofer, 1, 39040 Termeno sulla Strada del Vino BZ",https://weindiele.com/media/image/product/1340/sm/rosewein-elena-walch-weinberg-dolomiten-rose-igt-20-26.jpg
Hofstätter Alto Adige Lagrein Rosé DOC,"

11,90 €                                                
",8012183000106,"
5 - 10 Workdays

",Manufacturer,Hofstätter,Rosé,107904,GTIN,8012183000106,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Lagrein Rosé",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Piazza Municipio, 7, 39040 Termeno sulla Strada del Vino BZ",https://weindiele.com/media/image/product/732/sm/rosewein-hofstaetter-suedtiroler-lagrein-rose-doc.jpg
Klosterhof Alto Adige Blauburgunder Rosé DOC Summer,"

13,51 €                                                
",140432217166,"
5 - 10 Workdays

",Manufacturer,Klosterhof,Rosé,217166,GTIN,140432217166,Content‍,"
0,75 l",Vintage‍,"
2021",Variety‍,"
Pinot Noir Rosè",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Extra‍,"
Vinum Hotels",Allergen information‍,Sulfites,Alcohol content‍,13 Vol. %,Manufacturer address‍,"Via Klavenz, 40, 39052 Caldaro sulla Strada del Vino BZ",https://weindiele.com/media/image/product/1363/sm/rosewein-klosterhof-suedtiroler-blauburgunder-rose-doc-summer.jpg
Kobler Alto Adige Merlot Kretzer DOC Kotzner with Screw Cap,"

14,90 €                                                
",8055748635078,"
5 - 10 Workdays

",Manufacturer,Armin Kobler,Rosé,195701,GTIN,8055748635078,Content‍,"
0,75 l",Vintage‍,"
2020",Variety‍,"
Merlot Rosé ",Regions‍,"
Alto Adige",Produced in‍,"
Italy",Allergen information‍,Sulfites,Alcohol content‍,"14,5 Vol. %",Manufacturer address‍,"Weinstraße 36, 39040 Magre' sulla strada del vino BZ",https://weindiele.com/media/image/product/1162/sm/rosewein-kobler-suedtiroler-merlot-kretzer-doc-kotzner.jpg
